id,date,machine,user,Obs,HHMMSS,FTime,EBal?,chamber,leaf,T_treatment,Water_treatment,Photo,Cond,Ci,Trmmol,VpdL,CTleaf,Area,BLC_1,StmRat,BLCond,Tair,Tleaf,TBlk,CO2R,CO2S,H2OR,H2OS,RH_R,RH_S,Flow,PARi,PARo,Press,CsMch,HsMch,StableF,BLCslope,BLCoffst,f_parin,f_parout,alphaK,Status,fda,Trans,Tair_K,Twall_K,R(W/m2),Tl-Ta,SVTleaf,h2o_i,h20diff,CTair,SVTair,CndTotal,vp_kPa,VpdA,CndCO2,Ci_Pa,Ci/Ca,RHsfc,C2sfc,AHs/Cs,leaf mass ,LA,lma,Amass
1,2013-05-15,uws3,mike,6,10:55:16,757,0,C01,1,ambient,control,24.89049984,0.395129057,279.0628183,3.086879029,0.879061878,20.26540947,6,1.420000017,1,2.840000033,17.81023979,20.26540947,17.0077095,427.9358521,396.5849609,11.30513573,14.95553303,55.63674164,73.6016922,499.7888489,1798.579468,866.8041992,100.7251358,-2.298508644,-0.146016985,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.832981415,0.003086879,293.4154095,290.9602398,287.7727084,1.493313873,2.385459973,23.68286679,8.72733376,19.03782463,2.210390894,0.346869168,1.506398095,0.703992799,0.220667533,28.10864027,0.703664652,67.01273036,384.7532094,0.043351954,0.5175,49.5,104.5454545,238.0830419
2,2013-05-15,uws3,mike,7,10:55:16,757.5,0,C01,1,ambient,control,24.90194687,0.394694684,278.8997964,3.084150943,0.879135604,20.26494598,6,1.420000017,1,2.840000033,17.80970383,20.26494598,17.00809479,427.9477844,396.5841064,11.30688667,14.95410347,55.64731216,73.59723663,499.7833252,1798.587891,866.8792114,100.7252655,-2.298508644,-0.146016985,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.832972209,0.003084151,293.414946,290.9597038,287.7740561,1.494757592,2.385391647,23.68215795,8.728054476,19.03732491,2.210321985,0.346534376,1.506256042,0.704065943,0.220450747,28.09225604,0.703255102,67.00462454,384.7469135,0.043367355,0.5175,49.5,104.5454545,238.1925353
3,2013-05-15,uws3,mike,8,10:55:32,773,0,C01,1,ambient,control,24.87472427,0.391496421,278.2476756,3.068035696,0.880788719,20.29174232,6,1.420000017,1,2.840000033,17.82120323,20.29174232,17.00895882,427.9622803,396.6376953,11.34870625,14.97690487,55.81281281,73.65625,499.7663574,1799.314331,868.4056396,100.7254868,-2.298508644,-0.146016985,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.832943929,0.003068036,293.4417423,290.9712032,287.8902865,1.502540392,2.389344752,23.72135225,8.744447382,19.05647278,2.212963682,0.344066554,1.508556033,0.704407649,0.218852996,28.02663257,0.701515965,66.96356554,384.8134427,0.043285916,0.5175,49.5,104.5454545,237.9321451
4,2013-05-15,uws3,mike,9,10:55:49,789.5,0,C01,1,ambient,control,24.82084415,0.388983985,277.728145,3.04852515,0.880116093,20.30122375,6,1.420000017,1,2.840000033,17.81812096,20.30122375,17.00792313,427.7719116,396.5197754,11.39260769,14.99788284,56.0381012,73.77177429,499.7350159,1799.560303,869.3831787,100.7228012,-2.298508644,-0.146016985,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.832891693,0.003048525,293.4512238,290.968121,287.929642,1.511627732,2.390744865,23.73588538,8.738002542,19.05967236,2.213405375,0.342124496,1.510628772,0.702776603,0.217595928,27.97355673,0.700414361,66.98185846,384.7211348,0.043214321,0.5175,49.5,104.5454545,237.4167701
5,2013-05-15,uws3,mike,10,10:55:49,790,0,C01,1,ambient,control,24.83368008,0.388696011,277.5817662,3.046940393,0.880219153,20.30201912,6,1.420000017,1,2.840000033,17.81699753,20.30201912,17.00790787,427.7742004,396.5076294,11.39484787,14.99822712,56.05233383,73.7776947,499.737854,1799.567993,869.4804688,100.7214508,-2.298508644,-0.146016985,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.832896423,0.00304694,293.4520191,290.9669975,287.9308725,1.512228583,2.390862348,23.73737004,8.739142918,19.05950832,2.213382729,0.341901705,1.510643195,0.702739534,0.217451734,27.95843821,0.700066646,66.97663877,384.7028872,0.043235351,0.5175,49.5,104.5454545,237.5395486
6,2013-05-15,uws3,mike,11,10:56:05,806,0,C01,1,ambient,control,24.82960796,0.385407406,276.8018897,3.027683615,0.881256684,20.31928825,6,1.420000017,1,2.840000033,17.8201313,20.31928825,17.00440788,427.8365479,396.5821838,11.43162823,15.01236343,56.22554016,73.83708954,499.712616,1799.421021,869.0537109,100.7274933,-2.298508644,-0.146016985,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.83285436,0.003027684,293.4692883,290.9701313,287.9073568,1.520192373,2.393414421,23.76128247,8.748919039,19.06970978,2.214791515,0.33935466,1.512157737,0.702633778,0.215803485,27.88156049,0.697968545,66.93865196,384.7793774,0.043195155,0.5175,49.5,104.5454545,237.5005978
7,2013-05-15,uws3,mike,1,10:49:30,413,0,C01,2,ambient,control,18.18557248,0.304486085,287.3379618,2.72161253,0.978557685,20.07510567,6,1.420000017,1,2.840000033,17.73994064,20.07510567,16.99733734,420.1448669,397.0141602,10.46505547,13.68787479,51.74143219,67.67573547,499.7536316,1798.820313,807.9100342,100.745491,-0.024796501,0.074635603,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.832922719,0.002721613,293.2251057,290.8899406,287.8112436,1.702038157,2.357549353,23.40104087,9.713166073,18.90752316,2.192486934,0.275002165,1.378991667,0.813495267,0.174302569,28.94800405,0.723747389,61.80349111,388.36961,0.028939748,0.4362,52.16,83.62730061,217.4597572
8,2013-05-15,uws3,mike,2,10:49:43,425.5,0,C01,2,ambient,control,18.16036214,0.303340198,287.1767081,2.703426373,0.975324111,20.06468391,6,1.420000017,1,2.840000033,17.74593544,20.06468391,17.02277374,420.1443481,397.0504456,10.50351334,13.7050209,51.91143799,67.73423004,499.7100525,1798.64563,782.0024414,100.7444687,-0.024796501,0.074635603,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.832850087,0.002703426,293.2146839,290.8959354,287.7832943,1.713401607,2.356029161,23.38618876,9.681167851,18.90530968,2.192183894,0.27406711,1.380705049,0.811478845,0.173701573,28.93146488,0.723275119,61.89121268,388.4178791,0.028937052,0.4362,52.16,83.62730061,217.1582965
9,2013-05-15,uws3,mike,3,10:50:01,443.5,0,C01,2,ambient,control,18.05781259,0.302804306,287.7435475,2.684878199,0.970130528,20.04699898,6,1.420000017,1,2.840000033,17.74212265,20.04699898,17.01721382,420.134491,397.1728516,10.55232716,13.7316885,52.16255188,67.87886047,499.7249451,1798.99707,733.5615234,100.7393188,-0.024796501,0.074635603,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.832874908,0.002684878,293.196999,290.8921227,287.8395248,1.725676336,2.353451474,23.36179658,9.630108077,18.89456081,2.190712828,0.273629583,1.383320946,0.807391882,0.173420377,28.98708898,0.724479396,62.04610923,388.5890323,0.028832955,0.4362,52.16,83.62730061,215.9320276
10,2013-05-15,uws3,mike,4,10:50:18,460.5,0,C01,2,ambient,control,18.13754354,0.300056843,286.373925,2.663495553,0.970342315,20.06569481,6,1.420000017,1,2.840000033,17.7425499,20.06569481,17.00556183,420.1744385,397.1315002,10.60323048,13.75662994,52.41279984,68.00036621,499.8139038,1799.37793,581.3188477,100.7393723,-0.024796501,0.074635603,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.833023173,0.002663496,293.2156948,290.8925499,287.9004623,1.735238284,2.35617658,23.38883524,9.632205294,18.90412235,2.192021357,0.271384079,1.385834265,0.806187092,0.171977405,28.84912943,0.721106044,62.04754742,388.5097807,0.028966841,0.4362,52.16,83.62730061,216.8854358
11,2013-05-15,uws3,mike,5,10:50:36,478.5,0,C01,2,ambient,control,18.07933935,0.296478135,285.6011107,2.640874874,0.97255179,20.09930229,6,1.420000017,1,2.840000033,17.74975014,20.09930229,17.01612854,420.157959,397.1915283,10.65653992,13.7836113,52.65158463,68.10174561,499.7277832,1799.140869,647.7213135,100.7377777,-0.024796501,0.074635603,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.832879639,0.002640875,293.2493023,290.8997501,287.8625326,1.743161346,2.361082161,23.43790199,9.654290696,18.92452621,2.194815987,0.2684533,1.388530371,0.806285616,0.170094572,28.77082121,0.719051365,61.99537775,388.5974763,0.028843097,0.4362,52.16,83.62730061,216.1894407
